highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,total_clicks,days_active,avg_daily_clicks,avg_score,total_score,submission_count,min_score,max_score,withdrew_early,dropout
0,6,1,0,60,1655.0,72.0,3.6941964285714284,74.4,372.0,5.0,69.0,78.0,0,0
0,2,0,0,120,301.0,31.0,2.213235294117647,65.8,329.0,5.0,40.0,74.0,0,0
1,8,0,0,60,648.0,36.0,3.640449438202247,74.4,372.0,5.0,71.0,78.0,0,0
0,5,0,0,150,332.0,27.0,2.721311475409836,53.0,106.0,2.0,49.0,57.0,0,1
0,0,0,0,240,303.0,33.0,3.03,36.0,36.0,1.0,36.0,36.0,1,1
0,2,0,0,60,3928.0,187.0,2.8567272727272726,86.875,695.0,8.0,86.0,90.0,1,1
0,9,0,0,120,1316.0,111.0,3.323232323232323,68.2,341.0,5.0,63.0,75.0,0,0
0,8,0,0,60,333.0,33.0,2.664,49.8,249.0,5.0,37.0,68.0,0,0
2,4,0,0,180,201.0,35.0,1.7787610619469028,64.2,321.0,5.0,60.0,70.0,0,1
1,7,0,0,60,3178.0,161.0,3.4543478260869565,82.33333333333333,494.0,6.0,75.0,95.0,1,1
2,5,2,0,60,1950.0,98.0,4.3624161073825505,77.2,386.0,5.0,68.0,85.0,0,0
1,0,0,0,60,838.0,72.0,2.5944272445820435,60.4,302.0,5.0,53.0,73.0,0,0
1,7,1,0,120,3644.0,173.0,2.9942481511914543,78.4,392.0,5.0,74.0,86.0,0,0
0,1,0,0,60,65.0,18.0,1.2264150943396226,49.2,246.0,5.0,42.0,61.0,0,1
0,6,0,0,180,547.0,51.0,2.568075117370892,78.0,390.0,5.0,70.0,85.0,0,0
0,3,0,0,60,2219.0,134.0,3.010854816824966,80.4,402.0,5.0,70.0,91.0,0,0
0,5,0,0,120,569.0,103.0,2.0919117647058822,82.4,412.0,5.0,75.0,85.0,0,0
1,5,1,0,120,164.0,8.0,4.1,0.0,0.0,0.0,0.0,0.0,0,1
1,8,1,0,60,761.0,78.0,2.4082278481012658,73.8,369.0,5.0,71.0,76.0,0,0
1,9,1,0,120,198.0,7.0,4.304347826086956,0.0,0.0,0.0,0.0,0.0,1,1
0,1,0,0,60,166.0,27.0,1.8863636363636365,57.0,171.0,3.0,49.0,63.0,0,1
2,7,1,0,60,821.0,63.0,3.3925619834710745,69.0,276.0,4.0,64.0,75.0,0,1
0,0,0,0,120,891.0,78.0,2.2109181141439205,56.4,282.0,5.0,50.0,64.0,0,0
2,1,1,0,60,2129.0,148.0,2.8198675496688743,70.0,350.0,5.0,63.0,77.0,0,0
1,4,0,0,60,1465.0,129.0,3.002049180327869,76.8,384.0,5.0,54.0,90.0,0,0
0,5,0,0,120,437.0,32.0,2.5857988165680474,50.4,252.0,5.0,41.0,58.0,0,0
1,5,1,0,120,292.0,25.0,2.3548387096774195,55.6,278.0,5.0,39.0,68.0,0,1
2,0,0,0,180,677.0,52.0,3.008888888888889,66.4,332.0,5.0,58.0,74.0,0,0
1,10,0,0,60,2342.0,154.0,3.0775295663600524,87.0,435.0,5.0,77.0,94.0,0,0
0,8,1,0,60,2333.0,124.0,3.7208931419457736,72.8,364.0,5.0,60.0,88.0,0,0
0,8,0,0,60,1062.0,97.0,2.839572192513369,67.8,339.0,5.0,58.0,75.0,0,0
0,9,0,0,120,543.0,91.0,1.9963235294117647,75.6,378.0,5.0,69.0,85.0,0,0
2,10,0,0,120,164.0,31.0,1.7083333333333333,67.8,339.0,5.0,59.0,80.0,0,0
0,7,0,0,120,910.0,114.0,2.549019607843137,68.0,340.0,5.0,63.0,75.0,0,0
2,8,1,0,60,671.0,57.0,3.0225225225225225,63.8,319.0,5.0,54.0,70.0,0,0
0,9,1,0,60,875.0,50.0,3.5714285714285716,60.6,303.0,5.0,51.0,75.0,0,0
0,0,0,0,90,997.0,91.0,2.6729222520107236,68.625,549.0,8.0,54.0,80.0,1,1
0,7,0,0,120,363.0,44.0,2.1736526946107784,45.0,225.0,5.0,25.0,55.0,0,1
0,5,1,0,120,3003.0,177.0,3.1346555323590812,68.4,342.0,5.0,63.0,75.0,0,0
0,6,0,0,60,876.0,50.0,3.6962025316455698,74.2,371.0,5.0,68.0,80.0,0,0
1,5,0,0,180,996.0,70.0,3.244299674267101,61.4,307.0,5.0,54.0,68.0,0,0
2,9,0,0,240,1183.0,87.0,3.6625386996904026,46.4,232.0,5.0,40.0,54.0,0,1
2,8,0,0,60,955.0,90.0,2.7130681818181817,65.0,325.0,5.0,55.0,75.0,0,0
2,5,1,0,60,1445.0,83.0,4.176300578034682,72.6,363.0,5.0,61.0,80.0,0,0
2,2,1,0,120,509.0,26.0,3.348684210526316,43.8,219.0,5.0,30.0,52.0,0,0
0,2,0,0,120,1388.0,87.0,3.393643031784841,77.2,386.0,5.0,71.0,86.0,0,0
0,9,0,0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0,5,0,0,120,807.0,105.0,2.5062111801242235,76.4,382.0,5.0,70.0,82.0,0,0
1,0,1,0,90,1417.0,55.0,4.217261904761905,59.666666666666664,358.0,6.0,52.0,67.0,1,1
0,4,0,0,60,342.0,27.0,2.4963503649635035,76.0,228.0,3.0,72.0,80.0,0,1
0,7,0,0,60,411.0,25.0,3.288,58.4,292.0,5.0,56.0,60.0,0,0
0,7,0,0,150,646.0,50.0,2.636734693877551,59.8,299.0,5.0,54.0,66.0,0,0
0,2,0,0,120,739.0,43.0,2.7169117647058822,70.6,353.0,5.0,64.0,77.0,0,0
1,8,0,0,120,1009.0,49.0,3.4203389830508475,40.5,81.0,2.0,39.0,42.0,1,1
1,3,0,0,60,1241.0,140.0,2.447731755424063,87.6,438.0,5.0,84.0,91.0,0,0
1,9,1,0,60,842.0,32.0,4.028708133971292,79.33333333333333,238.0,3.0,66.0,86.0,1,1
0,2,0,0,60,2832.0,131.0,3.504950495049505,70.6,353.0,5.0,68.0,74.0,0,0
0,8,0,0,60,58.0,2.0,2.761904761904762,0.0,0.0,0.0,0.0,0.0,0,1
1,8,0,0,120,901.0,78.0,3.9004329004329006,66.6,333.0,5.0,57.0,76.0,0,0
1,8,1,0,60,998.0,88.0,2.91812865497076,73.0,365.0,5.0,68.0,77.0,0,0
0,4,0,0,120,1129.0,61.0,4.12043795620438,71.8,359.0,5.0,54.0,81.0,0,0
1,9,0,0,120,521.0,58.0,2.217021276595745,72.4,362.0,5.0,59.0,83.0,0,0
1,4,0,0,120,2328.0,112.0,3.2605042016806722,81.0,405.0,5.0,80.0,82.0,0,0
1,6,0,0,60,910.0,66.0,3.8559322033898304,72.0,360.0,5.0,41.0,87.0,0,0
1,8,0,0,120,224.0,32.0,2.5454545454545454,59.2,296.0,5.0,52.0,64.0,0,1
1,3,0,0,60,488.0,17.0,5.809523809523809,81.5,163.0,2.0,78.0,85.0,1,1
1,7,0,0,120,780.0,42.0,3.9,73.2,366.0,5.0,68.0,78.0,0,0
1,9,0,0,120,1271.0,50.0,4.022151898734177,71.4,357.0,5.0,67.0,75.0,0,0
0,3,0,0,120,194.0,19.0,2.5526315789473686,40.0,80.0,2.0,15.0,65.0,0,1
0,9,0,0,120,7067.0,259.0,4.077899596076168,82.8,414.0,5.0,81.0,86.0,0,0
4,9,1,0,60,605.0,36.0,2.8947368421052633,76.2,381.0,5.0,60.0,88.0,0,0
1,10,2,0,60,1105.0,84.0,3.7713310580204777,63.0,630.0,10.0,56.0,71.0,1,1
4,9,1,0,60,406.0,34.0,3.147286821705426,66.0,132.0,2.0,54.0,78.0,0,1
1,9,2,0,120,3064.0,131.0,4.129380053908355,66.0,330.0,5.0,56.0,70.0,0,0
0,6,2,0,120,5680.0,226.0,3.941707147814018,80.8,404.0,5.0,78.0,83.0,0,0
2,5,2,0,120,4108.0,81.0,4.662883087400681,65.0,65.0,1.0,65.0,65.0,1,1
2,7,2,0,60,4007.0,187.0,3.404418011894647,72.0,360.0,5.0,61.0,83.0,0,0
0,6,2,0,60,7288.0,229.0,3.984691088026244,81.2,406.0,5.0,80.0,83.0,0,0
0,9,1,0,60,3004.0,166.0,3.4331428571428573,76.4,382.0,5.0,64.0,85.0,0,0
0,5,1,0,60,1357.0,94.0,2.4275491949910553,61.8,309.0,5.0,48.0,72.0,0,0
1,4,1,0,60,1216.0,102.0,3.1099744245524295,77.2,386.0,5.0,75.0,78.0,0,0
0,4,1,0,60,870.0,66.0,3.246268656716418,72.0,360.0,5.0,62.0,77.0,0,0
0,8,1,0,180,1980.0,135.0,2.6541554959785523,59.75,239.0,4.0,36.0,82.0,1,1
1,9,1,0,60,3098.0,158.0,4.076315789473684,68.0,340.0,5.0,55.0,76.0,0,0
1,9,1,0,60,5988.0,176.0,5.238845144356955,56.6,283.0,5.0,50.0,59.0,0,0
2,3,1,0,60,1896.0,150.0,3.3146853146853146,70.0,350.0,5.0,65.0,73.0,0,0
1,8,2,0,60,1695.0,125.0,3.310546875,82.6,413.0,5.0,76.0,90.0,0,0
0,2,1,0,60,1732.0,126.0,3.10951526032316,68.57142857142857,480.0,7.0,56.0,82.0,1,1
0,7,1,0,60,240.0,24.0,2.823529411764706,35.0,70.0,2.0,25.0,45.0,0,1
1,3,1,0,60,910.0,75.0,2.935483870967742,75.2,376.0,5.0,68.0,80.0,0,0
0,1,1,0,120,1907.0,43.0,4.80352644836272,59.0,118.0,2.0,58.0,60.0,0,1
0,9,1,0,60,1173.0,49.0,3.5871559633027523,63.0,63.0,1.0,63.0,63.0,1,1
1,4,1,0,120,3460.0,165.0,3.4808853118712273,81.8,409.0,5.0,76.0,87.0,0,0
2,4,1,0,60,1462.0,76.0,3.940700808625337,61.9,619.0,10.0,54.0,69.0,0,1
0,7,1,0,60,3493.0,155.0,4.844660194174757,61.8,309.0,5.0,51.0,67.0,0,0
2,8,1,0,60,4202.0,133.0,3.5519864750633983,73.0,365.0,5.0,70.0,78.0,0,0
2,9,1,0,60,723.0,19.0,4.918367346938775,79.6,398.0,5.0,67.0,84.0,0,0
1,9,1,0,60,998.0,44.0,4.577981651376147,77.5,155.0,2.0,70.0,85.0,0,1
0,6,1,0,60,6025.0,215.0,3.584176085663296,84.6,423.0,5.0,82.0,86.0,0,0
0,3,1,0,60,5061.0,227.0,3.531751570132589,85.0,425.0,5.0,83.0,86.0,0,0
2,5,1,0,60,643.0,29.0,3.199004975124378,68.0,68.0,1.0,68.0,68.0,1,1
1,4,1,0,60,2756.0,124.0,3.6026143790849674,78.2,391.0,5.0,73.0,82.0,0,0
0,6,1,0,60,1759.0,75.0,3.2940074906367043,83.8,419.0,5.0,81.0,87.0,0,0
2,3,1,0,75,2756.0,75.0,4.24,61.0,122.0,2.0,57.0,65.0,1,1
0,1,1,0,60,420.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,1,1
1,7,2,0,60,7057.0,224.0,4.122079439252336,66.2,331.0,5.0,57.0,74.0,0,0
1,10,1,0,60,1443.0,86.0,3.8894878706199463,76.8,384.0,5.0,73.0,79.0,0,0
0,3,1,0,60,459.0,41.0,3.425373134328358,77.4,387.0,5.0,72.0,85.0,0,0
2,4,1,0,60,6518.0,238.0,4.016019716574245,71.0,355.0,5.0,60.0,83.0,0,0
2,4,1,0,300,5975.0,228.0,4.499246987951807,62.6,313.0,5.0,57.0,72.0,0,0
0,5,1,0,60,1754.0,99.0,3.0504347826086957,72.0,360.0,5.0,64.0,78.0,0,0
0,7,1,0,60,931.0,63.0,3.03257328990228,73.6,368.0,5.0,68.0,84.0,0,0
0,8,0,0,60,4294.0,120.0,8.763265306122449,70.4,352.0,5.0,67.0,76.0,0,0
0,9,1,0,60,1992.0,147.0,3.2817133443163096,73.0,365.0,5.0,50.0,85.0,0,0
2,4,1,0,120,470.0,47.0,2.8658536585365852,53.6,268.0,5.0,40.0,65.0,0,0
2,0,1,0,60,14759.0,254.0,4.962676529926026,83.6,836.0,10.0,78.0,90.0,1,1
2,5,1,0,120,1216.0,60.0,3.4350282485875705,67.25,269.0,4.0,40.0,78.0,0,0
0,9,0,0,60,1401.0,81.0,3.343675417661098,76.0,380.0,5.0,71.0,79.0,0,0
